,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
6175,Annalect,4.2,(85 Reviews),Private,"New York,New York + 4 more",12 years old,501-1k Employees (India)
6176,Krystal Integrat...,4.2,(85 Reviews),Private,Mumbai + 10 more,22 years old,201-500 Employees (India)
6177,Ginger Webs,3.4,(85 Reviews),Private,"Noida,Uttar Pradesh + 9 more",14 years old,201-500 Employees (India)
6178,PolicyX.com,3.3,(85 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",9 years old,51-200 Employees (India)
6179,Datapro,3.5,(85 Reviews),Private,Florida + 20 more,46 years old,51-200 Employees (Global)
6180,Madras Medical M...,4.6,(85 Reviews),Private,"Chennai,Tamil Nadu + 2 more",40 years old,1k-5k Employees (India)
6181,Corrtech Interna...,4.2,(85 Reviews),Private,Ahemdabad + 18 more,40 years old,201-500 Employees (India)
6182,Wonderchef Home ...,3.9,(85 Reviews),Private,"Mumbai,Maharashtra + 16 more",13 years old,201-500 Employees (India)
6183,Kuantum Papers,4.2,(85 Reviews),Public,"Chandigarh,Chandigarh + 1 more",25 years old,1k-5k Employees (India)
6184,Hamad Medical Co...,4.0,(85 Reviews),Doha + 5 more,43 years old,50k-1 Lakh Employees (India),
6185,Cube Constructio...,3.2,(85 Reviews),Public,"Vadodara/Baroda,Gujarat + 6 more",28 years old,1k-5k Employees (India)
6186,DESIGNCO,4.0,(85 Reviews),Private,"Moradabad,Uttar Pradesh + 4 more",17 years old,51-200 Employees (India)
6187,P N Gadgil Jewel...,4.2,(85 Reviews),Private,Pune + 17 more,190 years old,1k-5k Employees (India)
6188,Group Pharmaceut...,4.1,(85 Reviews),Mumbai + 13 more,42 years old,501-1k Employees (India),
6189,Breach Candy Hos...,4.6,(85 Reviews),Mumbai + 4 more,72 years old,201-500 Employees (India),
6190,Newtronic Lifeca...,4.1,(85 Reviews),Private,Mumbai + 7 more,46 years old,201-500 Employees (India)
6191,BuildAHome,4.6,(85 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",6 years old,51-200 Employees (India)
6192,Aurobindo Realty...,4.4,(85 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",6 years old,501-1k Employees (India)
6193,R.k.industries,3.5,(85 Reviews),Public,New Delhi + 23 more,1k-5k Employees (India),
6194,Evision Technose...,3.9,(85 Reviews),Private,"Delhi/NCR,Delhi + 14 more",10 years old,11-50 Employees (India)
6195,Golden Tulip Hot...,4.0,(85 Reviews),Amersfoort + 20 more,60 years old,1 Lakh+ Employees (India),
6196,MINI MUTHOOTTU N...,3.5,(85 Reviews),Public,"Kochi/Cochin,Kerala + 31 more",101 years old,501-1k Employees (India)
6197,Toppscholars,3.4,(85 Reviews),Mumbai + 9 more,3 years old,201-500 Employees (India),
6198,DeHaat,4.0,(85 Reviews),Private,"Patna,Bihar + 22 more",3 years old,1k-5k Employees (India)
6199,Edvoy,4.7,(85 Reviews),Private,Manchester + 3 more,16 years old,51-200 Employees (India)
6200,Bikayi,3.5,(85 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 3 more",3 years old,201-500 Employees (India)
6201,Vodafone Intelli...,4.2,(85 Reviews),Pune + 2 more,16 years old,,
6202,VHB Life Science...,3.2,(85 Reviews),"Mumbai,Maharashtra + 17 more",76 years old,1k-5k Employees (India),
6203,Stellar Informat...,3.8,(85 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",29 years old,201-500 Employees (India)
6204,Delhi Institute ...,4.5,(102 Reviews),Private,New Delhi + 4 more,8 years old,51-200 Employees (India)
6205,AT&S,4.1,(84 Reviews),Private,"Mumbai,Maharashtra + 19 more",35 years old,5k-10k Employees (Global)
6206,SDP HR Solution,4.2,(84 Reviews),Private,Bharuch + 18 more,12 years old,1-10 Employees (India)
6207,Focus Softnet,3.7,(84 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",30 years old,501-1k Employees (India)
6208,Executive Ship M...,3.8,(84 Reviews),Private,Singapore + 3 more,24 years old,1k-5k Employees (India)
6209,Rentokil Initial,4.4,(84 Reviews),Private,"Mumbai,Maharashtra + 22 more",5 years old,201-500 Employees (India)
6210,Back Office,3.6,(84 Reviews),Private,Dubai + 29 more,18 years old,51-200 Employees (India)
6211,Obeetee,4.2,(84 Reviews),Private,Noida + 11 more,86 years old,51-200 Employees (India)
6212,Numero Uno Cloth...,3.8,(84 Reviews),Private,Gurugram + 19 more,35 years old,501-1k Employees (India)
6213,Autohangar,4.1,(84 Reviews),Private,Mumbai + 2 more,31 years old,501-1k Employees (India)
6214,Talent Corner HR...,4.2,(84 Reviews),Private,Mumbai + 26 more,20 years old,51-200 Employees (India)
6215,Tema India,3.9,(84 Reviews),Private,"Mumbai,Maharashtra + 8 more",38 years old,501-1k Employees (India)
6216,ITC ABD,3.8,(84 Reviews),Kolkata + 27 more,112 years old,51-200 Employees (India),
6217,Anytime Fitness,3.3,(84 Reviews),LLC,"Delhi,NCT + 18 more",21 years old,51-200 Employees (India)
6218,Jamia Millia Isl...,4.2,(84 Reviews),Private,New Delhi + 4 more,102 years old,11-50 Employees (India)
6219,Radhakrishna Foo...,4.4,(84 Reviews),Private,Thane + 18 more,56 years old,1k-5k Employees (India)
6220,N+A,3.4,(84 Reviews),Los Angeles + 26 more,50k-1 Lakh Employees (India),,
6221,Betsol,3.8,(84 Reviews),Private,"Broomfield,Colorado + 1 more",20 years old,501-1k Employees (India)
6222,STJ Electronics,4.0,(84 Reviews),Private,"Delhi/NCR,Delhi + 7 more",36 years old,51-200 Employees (India)
6223,Uttar Pradesh Ja...,4.3,(84 Reviews),Public,Lucknow + 29 more,47 years old,1k-5k Employees (India)
6224,Radio City 91.1 ...,3.9,(84 Reviews),"Mumbai,Maharashtra + 25 more",21 years old,501-1k Employees (Global),
6225,ValueFirst Digit...,4.2,(84 Reviews),Private,"Gurgaon,Haryana + 3 more",19 years old,201-500 Employees (India)
6226,NTC Logistics In...,4.5,(84 Reviews),"Chennai,Tamil Nadu + 11 more",25 years old,501-1k Employees (India),
6227,American InfoSou...,3.1,(84 Reviews),Private,Houston,22 years old,201-500 Employees (Global)
6228,Apollo Spectra H...,4.4,(84 Reviews),Hyderabad + 12 more,13 years old,10k-50k Employees (India),
6229,NELCAST,3.6,(84 Reviews),Public,"Chennai,Tamil Nadu + 4 more",40 years old,501-1k Employees (India)
6230,Central Academy ...,4.3,(84 Reviews),Private,New Delhi + 19 more,46 years old,5k-10k Employees (India)
6231,Ogilvy,4.1,(84 Reviews),Private,"New York,New York State + 9 more",74 years old,50k-1 Lakh Employees (India)
6232,Saifee Hospital,3.5,(84 Reviews),Private,"Mumbai,Maharashtra",17 years old,201-500 Employees (India)
6233,Moreish Food,2.6,(84 Reviews),Private,Ranchi + 12 more,33 years old,51-200 Employees (India)
6234,DSK Toyota,4.6,(84 Reviews),Pune + 5 more,22 years old,1k-5k Employees (India),
6235,KapitalTech,4.0,(84 Reviews),Public,"Mumbai,Maharashtra + 27 more",8 years old,201-500 Employees (India)
6236,Steril Gene Life...,3.9,(84 Reviews),Chennai + 1 more,15 years old,51-200 Employees (India),
6237,Meghmani Fineche...,4.2,(84 Reviews),Ahmedabad + 2 more,15 years old,501-1k Employees (India),
6238,Gulshan Polyols,3.7,(84 Reviews),Public,Muzaffarnagar + 5 more,22 years old,501-1k Employees (India)
6239,Gulshan Polyols,3.7,(84 Reviews),Public,Muzaffarnagar + 5 more,22 years old,501-1k Employees (India)
6240,Chiripal Poly Fi...,4.3,(84 Reviews),Public,"Ahmedabad,Gujrat + 6 more",10 years old,501-1k Employees (India)
6241,Sampark Logistic...,3.5,(84 Reviews),Private,"Faridabad,Haryana + 13 more",9 years old,201-500 Employees (India)
6242,Way2Online Inter...,3.6,(84 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",16 years old,501-1k Employees (India)
6243,Ageis,3.6,(84 Reviews),Bengaluru/Bangalore + 13 more,11-50 Employees (Global),,
6244,Bosch Power Tool...,4.3,(84 Reviews),Private,Leinfelden + 17 more,63 years old,201-500 Employees (India)
6245,Tasmed,4.2,(84 Reviews),"Ahmedabad,Gujarat + 13 more",29 years old,501-1k Employees (India),
6246,Uttar Pradesh Ja...,4.3,(84 Reviews),Public,Lucknow + 29 more,47 years old,1k-5k Employees (India)
6247,Jamia Millia Isl...,4.2,(84 Reviews),Private,New Delhi + 4 more,102 years old,11-50 Employees (India)
6248,Saifee Hospital,3.5,(84 Reviews),Private,"Mumbai,Maharashtra",17 years old,201-500 Employees (India)
6249,Maintec Technolo...,2.9,(84 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",24 years old,201-500 Employees (India)
6250,Focus Softnet,3.7,(84 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",30 years old,501-1k Employees (India)
6251,Radhakrishna Foo...,4.4,(84 Reviews),Private,Thane + 18 more,56 years old,1k-5k Employees (India)
6252,Radio City 91.1 ...,3.9,(84 Reviews),"Mumbai,Maharashtra + 25 more",21 years old,501-1k Employees (Global),
6253,Embitel Technolo...,4.0,(84 Reviews),Private,Bangalore + 2 more,16 years old,201-500 Employees (India)
6254,Shivashakti Bio ...,3.7,(84 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",26 years old,1k-5k Employees (India)
6255,ARB Bearings,3.8,(84 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",32 years old,201-500 Employees (India)
6256,Voltech Hr Servi...,3.9,(84 Reviews),Private,"Chennai,Tamil Nadu + 22 more",8 years old,201-500 Employees (India)
6257,Executive Ship M...,3.8,(84 Reviews),Private,Singapore + 3 more,24 years old,1k-5k Employees (India)
6258,ContinuServe Sof...,3.2,(84 Reviews),Private,"Cambridge,Massachusetts",19 years old,201-500 Employees (India)
6259,Betsol,3.8,(84 Reviews),Private,"Broomfield,Colorado + 1 more",20 years old,501-1k Employees (India)
6260,Numero Uno Cloth...,3.8,(84 Reviews),Private,Gurugram + 19 more,35 years old,501-1k Employees (India)
6261,APL Logistics,4.1,(84 Reviews),Private,"Scottsdale,Arizona + 22 more",45 years old,501-1k Employees (India)
6262,Autohangar,4.1,(84 Reviews),Private,Mumbai + 2 more,31 years old,501-1k Employees (India)
6263,STJ Electronics,4.0,(84 Reviews),Private,"Delhi/NCR,Delhi + 7 more",36 years old,51-200 Employees (India)
6264,Rossari Biotech,4.0,(84 Reviews),Private,"Mumbai,Maharashtra + 9 more",25 years old,51-200 Employees (India)
6265,ITC ABD,3.8,(84 Reviews),Kolkata + 27 more,112 years old,51-200 Employees (India),
6266,N+A,3.4,(84 Reviews),Los Angeles + 26 more,50k-1 Lakh Employees (India),,
6267,Tema India,3.9,(84 Reviews),Private,"Mumbai,Maharashtra + 8 more",38 years old,501-1k Employees (India)
6268,Globus Spirits,4.0,(84 Reviews),Public,New Delhi + 9 more,30 years old,1k-5k Employees (India)
6269,Chiripal Poly Fi...,4.3,(84 Reviews),Public,"Ahmedabad,Gujrat + 6 more",10 years old,501-1k Employees (India)
6270,Zeco Aircon,3.8,(84 Reviews),Public,"Jhajjar,Haryana + 7 more",33 years old,501-1k Employees (India)
6271,Goodluck,3.9,(84 Reviews),Public,Ghaziabad + 11 more,36 years old,1k-5k Employees (India)
6272,Ajmal Perfumes,4.3,(84 Reviews),LLC,Dubai + 15 more,71 years old,501-1k Employees (Global)
6273,PSRI Hospital,3.9,(84 Reviews),Private,"Delhi/NCR,Delhi",26 years old,501-1k Employees (Global)
6274,INDIAN DESIGNS,4.2,(84 Reviews),Bangalore + 7 more,29 years old,201-500 Employees (India),
6275,DCM Engineering,4.0,(84 Reviews),Private,New Delhi + 2 more,32 years old,1k-5k Employees (India)
6276,Flipspaces,2.8,(84 Reviews),Private,"Mumbai,Maharashtra + 9 more",11 years old,51-200 Employees (India)
6277,Mobase,3.9,(84 Reviews),Private,Ansan-si + 3 more,44 years old,1k-5k Employees (Global)
6278,Agriculture Depa...,4.0,(84 Reviews),Hyderabad/Secunderabad + 38 more,,,
6279,ZunRoof Tech,3.7,(84 Reviews),Private,"Gurgaon,Haryana + 5 more",6 years old,51-200 Employees (India)
6280,Omprime Technolo...,4.5,(84 Reviews),Gurgaon/Gurugram + 2 more,3 years old,501-1k Employees (India),
6281,DCM Infotech,3.4,(84 Reviews),Public,"Gurgaon/Gurugram,Haryana + 7 more",29 years old,51-200 Employees (India)
6282,Waah Jobs,4.3,(84 Reviews),"Bangalore,Karnataka + 10 more",7 years old,1-10 Employees (India),
6283,Fitelo,4.8,(84 Reviews),"Chandigarh,Chandigarh + 1 more",3 years old,51-200 Employees (India),
6284,Uniqlo,3.3,(84 Reviews),Tokyo + 2 more,51-200 Employees (India),,
6285,Walkaroo Interna...,4.2,(84 Reviews),Coimbatore + 14 more,5k-10k Employees (India),,
6286,Rane Group,4.1,(1.4k Reviews),Public,Chennai + 16 more,1k-5k Employees (India),
6287,KSB Limited - Ir...,4.0,(344 Reviews),Frankenthal + 13 more,1k-5k Employees (India),,
6288,POSCO,4.1,(272 Reviews),Private,Pohang-si + 14 more,54 years old,51-200 Employees (India)
6289,Zucol Group,2.6,(126 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",12 years old,501-1k Employees (India)
6290,Brickwork Rating...,3.5,(87 Reviews),Private,Bengaluru + 14 more,15 years old,201-500 Employees (India)
6291,Waste Management,4.2,(83 Reviews),Private,Houston + 10 more,54 years old,51-200 Employees (India)
6292,Flourish Pure Fo...,2.1,(83 Reviews),Private,Ahmedabad + 7 more,12 years old,51-200 Employees (India)
6293,Kingdom of Dream...,2.6,(83 Reviews),Private,Gurgaon + 1 more,12 years old,501-1k Employees (Global)
6294,Mawana Sugars,4.3,(83 Reviews),Public,"Gurgaon/Gurugram,Haryana + 4 more",61 years old,1k-5k Employees (India)
6295,Modelama Exports,3.6,(83 Reviews),Private,Gurugram + 3 more,43 years old,1k-5k Employees (Global)
6296,Inube Software S...,3.6,(83 Reviews),Private,Bangalore + 3 more,12 years old,201-500 Employees (India)
6297,Inductotherm,4.3,(83 Reviews),Private,New Jersey + 7 more,69 years old,51-200 Employees (India)
6298,SunTec Business ...,3.0,(83 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 7 more",32 years old,501-1k Employees (India)
6299,Asian Colour Coa...,4.2,(83 Reviews),Private,Gurugram + 7 more,17 years old,51-200 Employees (India)
6300,20 Microns,3.7,(83 Reviews),Public,Vadodara + 6 more,35 years old,201-500 Employees (India)
6301,TSR Darashaw,3.3,(83 Reviews),Private,"Mumbai,Maharashtra + 8 more",21 years old,51-200 Employees (India)
6302,Tafe Access,4.0,(83 Reviews),Private,Chennai + 8 more,62 years old,1k-5k Employees (India)
6303,Spear Logistics,3.7,(83 Reviews),Private,"Pune,Maharashtra + 13 more",21 years old,1k-5k Employees (Global)
6304,Bhartiya Interna...,4.2,(83 Reviews),Public,"Gurgaon/Gurugram,Haryana + 6 more",35 years old,201-500 Employees (India)
6305,Century Rayon,4.3,(83 Reviews),Private,"Mumbai,Maharashtra + 6 more",70 years old,201-500 Employees (India)
6306,HelpAge India,4.0,(83 Reviews),Private,"Delhi/NCR,New Delhi + 29 more",44 years old,501-1k Employees (India)
6307,PAVIT CERAMICS (...,3.3,(83 Reviews),Private,Ahmedabad + 18 more,22 years old,501-1k Employees (India)
6308,LatentView Analy...,3.9,(83 Reviews),Private,"Princeton,New Jersey + 2 more",16 years old,1k-5k Employees (India)
6309,Texas Instrument...,4.4,(83 Reviews),Private,"Dallas,Texas + 4 more",71 years old,1k-5k Employees (India)
6310,Antraweb Technol...,4.1,(83 Reviews),Private,Mumbai + 2 more,30 years old,201-500 Employees (India)
6311,MTAR Technologie...,4.3,(83 Reviews),Public,Hyderabad + 2 more,52 years old,1k-5k Employees (India)
6312,NIC,4.1,(83 Reviews),Private,New Delhi + 25 more,46 years old,5k-10k Employees (India)
6313,Bharat Coking Co...,4.2,(83 Reviews),Dhanbad + 11 more,50 years old,10k-50k Employees (India),
6314,Lince Soft Solut...,4.5,(83 Reviews),Private,Hyderabad + 1 more,13 years old,51-200 Employees (India)
6315,LetsTransport,3.6,(83 Reviews),"Bangalore,Karnataka + 12 more",7 years old,201-500 Employees (India),
6316,Globe Capital Ma...,4.0,(83 Reviews),Public,"Eastcote,England + 10 more",38 years old,1k-5k Employees (India)
6317,Manav Rachna Int...,3.9,(83 Reviews),Faridabad + 3 more,25 years old,501-1k Employees (India),
6318,Apexon,3.6,(83 Reviews),"Santa Clara,California + 5 more",2022 years old,501-1k Employees (India),
6319,IND-SPHINX PRECI...,3.5,(83 Reviews),Parwanoo,35 years old,51-200 Employees (India),
6320,Saburi TLC,3.1,(83 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",10 years old,51-200 Employees (India)
6321,Hero Housing Fin...,3.9,(83 Reviews),New Delhi + 28 more,5 years old,501-1k Employees (India),
6322,Radiant Applianc...,3.8,(83 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",3 years old,1k-5k Employees (India)
6323,Tata Digital,3.2,(83 Reviews),Mumbai + 3 more,,,
6324,M Power Micro Fi...,3.8,(83 Reviews),Private,"Mumbai,Maharashtra + 13 more",13 years old,10k-50k Employees (India)
6325,DEC Property Man...,4.3,(83 Reviews),Private,New Delhi + 8 more,24 years old,51-200 Employees (India)
6326,Hellmann Worldwi...,4.4,(83 Reviews),Private,"Doral,Niedersachsen + 13 more",151 years old,1k-5k Employees (India)
6327,Frigerio Conserv...,4.1,(83 Reviews),Private,Mumbai + 8 more,157 years old,1k-5k Employees (Global)
6328,Tata Trusts,3.9,(83 Reviews),Private,Mumbai + 25 more,130 years old,201-500 Employees (India)
6329,Marwadi Shares &...,4.4,(83 Reviews),Public,Geneva + 18 more,30 years old,501-1k Employees (India)
6330,Ewac Alloys,4.0,(83 Reviews),Private,Mumbai + 20 more,60 years old,51-200 Employees (India)
6331,Augustus Healthc...,3.9,(83 Reviews),LLP,Harwood Heights,23 years old,501-1k Employees (Global)
6332,Mercurius Adviso...,4.4,(83 Reviews),Private,Delhi,51-200 Employees (India),
6333,Legend Polyfoams,4.5,(83 Reviews),Private,New Delhi,22 years old,11-50 Employees (India)
6334,Arkad Engineerin...,2.9,(83 Reviews),Public,Al Khobar + 5 more,11 years old,5k-10k Employees (Global)
6335,John Crane Seali...,3.6,(83 Reviews),Private,"Chicago,Illinois + 2 more",10 years old,201-500 Employees (India)
6336,Integrated Clean...,4.4,(83 Reviews),Hyderabad + 3 more,19 years old,501-1k Employees (India),
6337,Reliance Footpri...,4.2,(83 Reviews),Mumbai + 39 more,15 years old,1-10 Employees (India),
6338,Nippo Batteries,4.3,(83 Reviews),Private,"Chennai,Tamil Nadu + 21 more",50 years old,1k-5k Employees (India)
6339,SAN Engineering ...,3.8,(83 Reviews),Public,Bangalore + 7 more,53 years old,201-500 Employees (India)
6340,SmartStream Tech...,3.6,(83 Reviews),Private,London + 4 more,22 years old,501-1k Employees (India)
6341,Mansukh Securiti...,3.4,(83 Reviews),Private,New Delhi + 8 more,34 years old,51-200 Employees (India)
6342,DRN Infrastructu...,4.1,(83 Reviews),Private,"Hubli,Karnataka + 11 more",39 years old,501-1k Employees (India)
6343,Harbinger System...,4.0,(83 Reviews),Private,"Pune,Maharashtra",32 years old,201-500 Employees (India)
6344,Chandigarh Group...,3.8,(83 Reviews),Private,Mohali + 6 more,21 years old,201-500 Employees (India)
6345,ICSIL,4.2,(83 Reviews),Public,New Delhi,38 years old,1-10 Employees (India)
6346,IIMT Group of Co...,3.4,(83 Reviews),Private,Greater Noida + 9 more,28 years old,51-200 Employees (India)
6347,Indiafilings,2.9,(83 Reviews),Private,"Chennai,Tamil Nadu + 7 more",9 years old,501-1k Employees (Global)
6348,Allana Group of ...,4.0,(83 Reviews),Private,"Mumbai,Maharashtra + 18 more",157 years old,5k-10k Employees (India)
6349,Pioneer Wincon,4.6,(83 Reviews),Private,"Chennai,Tamil Nadu + 12 more",26 years old,51-200 Employees (India)
6350,Crest Premedia S...,3.6,(83 Reviews),Private,Pune + 1 more,16 years old,1k-5k Employees (India)
6351,Strata Geosystem...,4.3,(83 Reviews),Private,Mumbai + 8 more,18 years old,201-500 Employees (India)
6352,String Real Esta...,3.6,(83 Reviews),Tampa + 6 more,18 years old,201-500 Employees (India),
6353,Sugam Parivahan,3.8,(83 Reviews),Private,New Delhi + 24 more,35 years old,201-500 Employees (India)
6354,Ronch Polymers,3.3,(83 Reviews),Mumbai + 4 more,27 years old,51-200 Employees (India),
6355,Jayanita Exports,3.1,(83 Reviews),Private,Greater Noida + 4 more,44 years old,51-200 Employees (India)
6356,UTILITY PROJECTS...,3.8,(83 Reviews),Private,Chennai + 10 more,16 years old,1k-5k Employees (India)
6357,R M Chemicals,4.3,(83 Reviews),Private,"Chandigarh,Chandigarh + 3 more",27 years old,201-500 Employees (India)
6358,FM INDIA SUPPLY ...,4.0,(83 Reviews),Private,Pune + 16 more,55 years old,1k-5k Employees (India)
6359,Foodlink F&B Hol...,4.3,(83 Reviews),Sole Proprietorship,"Mumbai,Maharashtra + 8 more",19 years old,501-1k Employees (India)
6360,Saburi TLC,3.1,(83 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",10 years old,51-200 Employees (India)
6361,Automotive Axles...,3.7,(83 Reviews),Public,Mysore + 4 more,41 years old,1k-5k Employees (India)
6362,Flipkart Wholesa...,4.1,(83 Reviews),Bengaluru/Bangalore + 30 more,11-50 Employees (India),,
6363,Vinove Software ...,3.7,(118 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",18 years old,201-500 Employees (India)
6364,Hudson's Bay Com...,4.1,(96 Reviews),Private,Brampton,352 years old,501-1k Employees (India)
6365,Forest Essential...,4.3,(82 Reviews),Private,"Noida,Uttar Pradesh + 21 more",22 years old,201-500 Employees (India)
6366,Shivalik Prints,4.0,(82 Reviews),Private,"Faridabad,Haryana + 1 more",24 years old,201-500 Employees (India)
6367,Eye Q Vision,3.6,(82 Reviews),Private,"Gurgaon,Haryana + 15 more",16 years old,501-1k Employees (India)
6368,Lotus Footwear E...,4.0,(82 Reviews),Private,Tamil Nadu + 5 more,51 years old,10k-50k Employees (India)
6369,Lulu Hypermarket,4.1,(82 Reviews),Private,Abu Dhabi + 18 more,22 years old,201-500 Employees (India)
6370,Pure & Cure Heal...,4.1,(82 Reviews),Haridwar + 4 more,17 years old,11-50 Employees (India),
6371,Brihanmumbai Ele...,4.3,(82 Reviews),Private,Mumbai + 1 more,149 years old,51-200 Employees (India)
6372,American Institu...,4.4,(82 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 19 more",15 years old,501-1k Employees (Global)
6373,Rcpl Logistics,3.6,(82 Reviews),Private,New Delhi + 16 more,25 years old,501-1k Employees (India)
6374,Dish Infra Servi...,4.2,(82 Reviews),Private,Delhi + 35 more,501-1k Employees (India),
6375,Ghv India,4.3,(82 Reviews),Private,Mumbai + 17 more,57 years old,201-500 Employees (India)
6376,Mahindra Defence...,4.1,(82 Reviews),Private,Mumbai + 11 more,77 years old,201-500 Employees (India)
6377,Exilant Technolo...,3.8,(82 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",18 years old,501-1k Employees (India)
6378,Aeon Credit Serv...,4.0,(82 Reviews),Private,"Mumbai,Maharashtra + 3 more",11 years old,201-500 Employees (India)
6379,Dar Al Riyadh Co...,4.3,(82 Reviews),Private,Riyadh + 6 more,47 years old,51-200 Employees (India)
6380,Symed Labs,3.7,(82 Reviews),Hyderabad + 2 more,25 years old,501-1k Employees (India),
6381,Aaj Enterprises,3.9,(82 Reviews),New Delhi + 12 more,16 years old,201-500 Employees (India),
6382,Million Minds Ma...,4.2,(82 Reviews),Private,"Noida,Uttar Pradesh + 26 more",10 years old,51-200 Employees (India)
6383,St. Thomas Schoo...,4.5,(82 Reviews),Private,"Delhi/NCR,Delhi + 25 more",92 years old,201-500 Employees (India)
6384,Skets Studio,3.7,(82 Reviews),Private,"New Delhi,Delhi + 1 more",17 years old,201-500 Employees (India)
6385,The Nuance Group...,4.5,(82 Reviews),Private,Zurich + 8 more,30 years old,1k-5k Employees (India)
6386,Spark Engineerin...,3.5,(82 Reviews),Private,Ghaziabad + 12 more,33 years old,51-200 Employees (Global)
6387,IJM (India) Infr...,4.4,(82 Reviews),Public,Hyderabad + 10 more,24 years old,201-500 Employees (India)
6388,Newt Global,3.9,(82 Reviews),Private,"Irving,Texas + 6 more",18 years old,51-200 Employees (India)
6389,InfoVision Labs,4.3,(82 Reviews),Private,"Pune,Maharashtra + 2 more",8 years old,1k-5k Employees (India)
6390,Jharkhand State ...,3.9,(82 Reviews),Ranchi + 14 more,13 years old,1k-5k Employees (Global),
6391,Ezeego One Trave...,3.6,(82 Reviews),"Mumbai,Maharashtra + 6 more",16 years old,201-500 Employees (India),
6392,Edward Food Rese...,2.8,(82 Reviews),Private,"Kolkata,West Bengal + 3 more",101 years old,51-200 Employees (India)
6393,Wika Instruments...,3.6,(82 Reviews),Pune + 6 more,25 years old,201-500 Employees (India),
6394,EPIQ Systems,4.2,(82 Reviews),Private,New York + 2 more,34 years old,501-1k Employees (India)
6395,Robinhood Insura...,3.9,(82 Reviews),Private,"Mumbai,Maharashtra + 12 more",14 years old,51-200 Employees (India)
6396,Akal Academy,3.7,(82 Reviews),Private,"Sirmour,Himachal Pradesh + 19 more",35 years old,201-500 Employees (India)
6397,Eye7 Chaudhary E...,3.8,(82 Reviews),Private,"Delhi/NCR,Delhi + 5 more",35 years old,201-500 Employees (India)
6398,Chili's Grill & ...,4.0,(82 Reviews),Dallas + 14 more,47 years old,11-50 Employees (India),
6399,SoCoMo Technolog...,3.8,(82 Reviews),Private,"Chandigarh,Union Territory Of Chandigarh + 17 more",8 years old,51-200 Employees (India)
6400,AccSource KPO,4.2,(82 Reviews),Private,Sydney,14 years old,51-200 Employees (India)
6401,TheMathCompany,3.6,(82 Reviews),Private,"Bangalore,Karnataka + 2 more",6 years old,501-1k Employees (India)
6402,Lohia Auto Indus...,3.6,(82 Reviews),Private,New Delhi + 6 more,14 years old,201-500 Employees (India)
6403,Shakti Precision...,3.9,(82 Reviews),Private,Bengaluru + 3 more,30 years old,51-200 Employees (India)
6404,Birla Cellulose,3.7,(82 Reviews),Surat + 8 more,201-500 Employees (India),,
6405,Siemens PLM Soft...,4.4,(82 Reviews),Private,Plano + 4 more,25 years old,1k-5k Employees (India)
6406,HIDADA,3.5,(82 Reviews),Jeddah + 7 more,40 years old,11-50 Employees (India),
6407,NBFC,4.4,(82 Reviews),Gurgaon/Gurugram + 37 more,50k-1 Lakh Employees (India),,
6408,Chirayu Medical ...,4.1,(82 Reviews),Bhopal + 4 more,11 years old,201-500 Employees (India),
6409,Leeford Healthca...,4.4,(82 Reviews),Ludhiana + 24 more,16 years old,501-1k Employees (India),
6410,Nitor Infotech,3.9,(82 Reviews),Private,Pune,16 years old,501-1k Employees (India)
6411,BDO,4.1,(82 Reviews),Public,"Mumbai,Maharashtra + 19 more",59 years old,1k-5k Employees (India)
6412,Zamil,4.0,(82 Reviews),Private,Al Khobar + 9 more,102 years old,201-500 Employees (India)
6413,ABCD,3.8,(82 Reviews),Private,Brooklyn + 24 more,201-500 Employees (India),
6414,Shreem Electrics,3.9,(82 Reviews),Public,Kolhapur + 17 more,46 years old,501-1k Employees (India)
6415,Toll Group,4.5,(82 Reviews),Private,Chennai + 12 more,25 years old,1k-5k Employees (India)
6416,Petronet LNG,4.5,(82 Reviews),Public,"Delhi/NCR,Delhi + 4 more",24 years old,501-1k Employees (India)
6417,IT Solutions,3.6,(82 Reviews),New Delhi + 23 more,26 years old,51-200 Employees (India),
6418,Visible Alpha So...,4.2,(82 Reviews),Private,"Mumbai,Maharashtra + 3 more",8 years old,501-1k Employees (India)
