,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
957,Navayuga Enginee...,4.1,(510 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 49 more",123 years old,501-1k Employees (India)
958,Chetu,3.6,(510 Reviews),Private,"Plantation,Florida + 3 more",22 years old,1k-5k Employees (India)
959,UBS,3.8,(509 Reviews),Private,Zurich + 24 more,7 years old,5k-10k Employees (India)
960,Flash Electronic...,3.7,(507 Reviews),Private,"Pune,Maharashtra + 13 more",33 years old,1k-5k Employees (India)
961,Sanden Vikas,3.8,(507 Reviews),Private,"Faridabad,Haryana + 16 more",40 years old,1k-5k Employees (India)
962,Varroc Polymers,3.9,(506 Reviews),Private,"Aurangabad,Maharashtra + 26 more",27 years old,201-500 Employees (India)
963,TNQ Technologies,3.6,(506 Reviews),Private,Chennai + 5 more,24 years old,1k-5k Employees (India)
964,United Breweries,4.1,(594 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 69 more",165 years old,1k-5k Employees (India)
965,Ageas Federal Li...,3.6,(505 Reviews),Private,"Mumbai,Maharashtra + 101 more",14 years old,501-1k Employees (India)
966,ThyssenKrupp Ind...,4.1,(505 Reviews),Private,"Pune,Maharashtra + 32 more",75 years old,1k-5k Employees (India)
967,HFCL,4.2,(601 Reviews),Public,"Delhi/NCR,New Delhi + 77 more",35 years old,1k-5k Employees (India)
968,VMware Software,4.4,(519 Reviews),Private,"Palo Alto,California + 9 more",24 years old,5k-10k Employees (India)
969,B. G. Shirke Con...,4.2,(504 Reviews),Private,"Pune,Maharashtra + 22 more",78 years old,1k-5k Employees (India)
970,Troikaa Pharmace...,4.0,(504 Reviews),Private,"Ahmedabad,Gujarat + 55 more",39 years old,1k-5k Employees (India)
971,Diageo,4.2,(1k Reviews),Public,London + 59 more,25 years old,1k-5k Employees (India)
972,Nippon Paint Ind...,4.0,(503 Reviews),Private,Osaka + 78 more,141 years old,1k-5k Employees (India)
973,Eveready Industr...,4.1,(502 Reviews),Public,"Kolkata,West Bengal + 51 more",88 years old,1k-5k Employees (India)
974,WorleyParsons,4.0,(501 Reviews),Private,"North Sydney,North Sydney + 28 more",51 years old,1k-5k Employees (India)
975,Metropolis Healt...,4.0,(501 Reviews),Private,"Mumbai,Maharashtra + 61 more",42 years old,1k-5k Employees (India)
976,Air India,3.9,(864 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",92 years old,10k-50k Employees (India)
977,OCS Group,3.9,(499 Reviews),Private,"Mumbai,Maharashtra + 40 more",26 years old,10k-50k Employees (India)
978,ZF Steering Gear,3.8,(498 Reviews),Public,"Pune,Maharashtra + 11 more",107 years old,501-1k Employees (India)
979,Ahluwalia Contra...,3.9,(498 Reviews),Public,"Delhi/NCR,New Delhi + 32 more",57 years old,1k-5k Employees (India)
980,Adani Group,4.0,(498 Reviews),Public,Ahmedabad + 69 more,34 years old,10k-50k Employees (India)
981,Napino Auto & El...,4.1,(497 Reviews),Public,"Gurgaon/Gurugram,Haryana + 4 more",25 years old,1k-5k Employees (India)
982,Vedanta Resource...,3.9,(2.4k Reviews),Public,London + 46 more,46 years old,1k-5k Employees (India)
983,Birla Corporatio...,4.2,(835 Reviews),Public,"Kolkata,India + 85 more",103 years old,1k-5k Employees (India)
984,Better.com,2.8,(496 Reviews),"New York City,New York + 2 more",6 years old,201-500 Employees (India),
985,Exela Technologi...,3.6,(495 Reviews),Private,"Irving,Texas + 12 more",11 years old,1k-5k Employees (India)
986,KIMS Hospital,4.2,(495 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",10 years old,501-1k Employees (India)
987,GirnarSoft,3.7,(1k Reviews),Private,"Jaipur,Rajasthan + 37 more",15 years old,1k-5k Employees (India)
988,Minda Corporatio...,3.7,(618 Reviews),Public,Gurugram + 38 more,64 years old,1k-5k Employees (India)
989,Finolex Cables,3.8,(494 Reviews),Public,Pune + 63 more,66 years old,5k-10k Employees (India)
990,SFO Technologies,3.6,(491 Reviews),Private,"Kochi/Cochin,Kerala + 12 more",32 years old,1k-5k Employees (India)
991,United Spirits,4.1,(491 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 87 more",25 years old,1k-5k Employees (India)
992,Karur Vysya Bank,3.7,(491 Reviews),Public,"Karur,Tamil Nadu + 88 more",106 years old,5k-10k Employees (India)
993,Wistron,3.8,(491 Reviews),Taipei + 9 more,21 years old,201-500 Employees (India),
994,Otis Elevator,4.3,(491 Reviews),Private,"Farmington,Connecticut + 47 more",169 years old,1k-5k Employees (India)
995,CALIBEHR,3.9,(491 Reviews),Private,"Mumbai,Maharashtra + 77 more",43 years old,1k-5k Employees (India)
996,Sadbhav Engineer...,4.2,(515 Reviews),Public,"Ahmedabad,Gujarat + 61 more",34 years old,1k-5k Employees (India)
997,Allianz Technolo...,4.4,(490 Reviews),Munich + 6 more,132 years old,1k-5k Employees (India),
998,Star Cement,3.9,(489 Reviews),Public,"Kolkata,West Bengal + 37 more",21 years old,1k-5k Employees (India)
999,Steag Energy Ser...,4.2,(489 Reviews),Private,"Essen,Essen + 28 more",22 years old,1k-5k Employees (India)
1000,Greenko Group,3.9,(489 Reviews),Private,Hyderabad + 39 more,18 years old,1k-5k Employees (India)
1001,Vakrangee,3.7,(488 Reviews),Public,"Mumbai,Maharashtra + 76 more",32 years old,1k-5k Employees (India)
1002,Kurlon,4.3,(488 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 77 more",60 years old,1k-5k Employees (India)
1003,Suzuki Motorcycl...,4.1,(6.7k Reviews),Private,Hamamatsu + 82 more,113 years old,1k-5k Employees (India)
1004,Pernod Ricard,3.8,(492 Reviews),Private,Paris + 81 more,47 years old,1k-5k Employees (India)
1005,Aarvi Encon,4.0,(485 Reviews),Public,"Mumbai,Maharashtra + 63 more",35 years old,1k-5k Employees (India)
1006,Godrej Agrovet,4.3,(485 Reviews),Mumbai + 79 more,1k-5k Employees (India),,
1007,Jain Irrigation ...,4.0,(485 Reviews),Public,"Jalgaon,Maharashtra + 71 more",59 years old,1k-5k Employees (India)
1008,Quest Retail,4.4,(485 Reviews),Private,"Gurgaon/Gurugram,Haryana + 60 more",17 years old,501-1k Employees (India)
1009,Uber,4.2,(556 Reviews),Public,"San Francisco,California + 38 more",13 years old,1k-5k Employees (India)
1010,HPCL-Mittal Ener...,4.4,(484 Reviews),JV,"Noida,Uttar Pradesh + 15 more",15 years old,1k-5k Employees (India)
1011,Medusind Solutio...,3.9,(484 Reviews),Private,"Mumbai,Maharashtra + 7 more",20 years old,1k-5k Employees (India)
1012,Genpact Headstro...,4.0,(20.5k Reviews),Private,"New Delhi,New Delhi + 13 more",24 years old,1k-5k Employees (India)
1013,Altimetrik,4.1,(482 Reviews),Private,"Southfield,Michigan + 8 more",10 years old,1k-5k Employees (India)
1014,Godrej Propertie...,3.7,(481 Reviews),Public,"Mumbai,Maharashtra + 21 more",32 years old,1k-5k Employees (India)
1015,Sintex Industrie...,4.2,(481 Reviews),Public,"Kalol,Gujarat + 52 more",91 years old,5k-10k Employees (India)
1016,Hikal,4.1,(481 Reviews),Private,"Mumbai,Maharashtra + 13 more",34 years old,1k-5k Employees (India)
1017,Lumen Technologi...,3.9,(481 Reviews),"Monroe,Louisiana + 10 more",92 years old,1k-5k Employees (India),
1018,Educomp Solution...,3.6,(480 Reviews),Public,"Gurgaon/Gurugram,Haryana + 109 more",28 years old,11-50 Employees (India)
1019,Anchor Electrica...,4.0,(480 Reviews),Private,"Mumbai,Maharashtra + 68 more",59 years old,5k-10k Employees (India)
1020,Bajaj Housing Fi...,3.9,(479 Reviews),Private,"Pune,Maharashtra + 91 more",14 years old,1k-5k Employees (India)
1021,Royal Caribbean ...,4.7,(646 Reviews),Public,"Miami,Florida + 14 more",53 years old,501-1k Employees (India)
